source,go-ipfs,js-ipfs,command,Chunker,CidVer,Inlining,RawLeaves,Trickle
../testdata/repeat_0.04GiB_175.zst,bafybeiazkff3c6fupooqbxkxuixwavymxks7zjul33tatn5cf3bovwkzda,bafybeigfj4x3diznwfcblarkwl2f5mk25m7zc62duf2xbharmy4pv5lxe4, add --chunker=rabin --trickle=false --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_175.zst,"rabin","1","0","true","false"
../testdata/repeat_0.04GiB_175.zst,bafybeiazkff3c6fupooqbxkxuixwavymxks7zjul33tatn5cf3bovwkzda,bafybeiasnzucgh5x5k5lhotvfzrkl6wtuhlscxwcqbpa2eylobs5gk4s2e, add --chunker=rabin --trickle=true --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_175.zst,"rabin","1","0","true","true"
../testdata/repeat_0.04GiB_175.zst,bafybeih7usgfhwk6olbsdl5e6kypuyu4rfqnwbb4dkpdovztonmdr6rda4,bafybeigfj4x3diznwfcblarkwl2f5mk25m7zc62duf2xbharmy4pv5lxe4, add --chunker=rabin-262141 --trickle=false --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_175.zst,"rabin-262141","1","0","true","false"
../testdata/repeat_0.04GiB_175.zst,bafybeih7usgfhwk6olbsdl5e6kypuyu4rfqnwbb4dkpdovztonmdr6rda4,bafybeiasnzucgh5x5k5lhotvfzrkl6wtuhlscxwcqbpa2eylobs5gk4s2e, add --chunker=rabin-262141 --trickle=true --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_175.zst,"rabin-262141","1","0","true","true"
../testdata/repeat_0.04GiB_174_1.zst,bafybeicusnmywar3pgk5cmrjpovzte7rlt3xdj75fmml4hmevc4xnq2ese,bafybeiboxgjtxcxf7ug5qpwlwyjjnhfxrmehnyor3yujoga5iao664bp3a, add --chunker=rabin --trickle=false --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_174_1.zst,"rabin","1","0","false","false"
../testdata/repeat_0.04GiB_174_1.zst,bafybeie2yibboz7tcuplz3tncps7ujuwvbg3l7jyfglhjqkrmbnlw5htda,bafybeih3crjmvihwxywe326hrzox3fthyqh6vkpawy7z6vt3c2yzicljaa, add --chunker=rabin --trickle=true --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_174_1.zst,"rabin","1","0","false","true"
../testdata/repeat_0.04GiB_174_1.zst,bafybeierwgx44g32sbs6mk7tzwle2anrq7hkkbzfhpj6lyrpfg4ecn4fji,bafybeiboxgjtxcxf7ug5qpwlwyjjnhfxrmehnyor3yujoga5iao664bp3a, add --chunker=rabin-262141 --trickle=false --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_174_1.zst,"rabin-262141","1","0","false","false"
../testdata/repeat_0.04GiB_174_1.zst,bafybeiclx3o3cky5rmigbhxx6wt72rwffwxz2nrg3fpyot5y7puzyzzz5q,bafybeih3crjmvihwxywe326hrzox3fthyqh6vkpawy7z6vt3c2yzicljaa, add --chunker=rabin-262141 --trickle=true --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_174_1.zst,"rabin-262141","1","0","false","true"
../testdata/repeat_0.04GiB_174_1.zst,bafybeictlvwszzyzpb7apf6yuauqq5gvwzbsuqy24x4toptgxnwx4llo4i,bafybeiew6fbjstpum5e2h3hdnmgoj2alduuxc557ndc66fsvu7ozb6ykj4, add --chunker=rabin --trickle=false --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_174_1.zst,"rabin","1","0","true","false"
../testdata/repeat_0.04GiB_174_1.zst,bafybeictlvwszzyzpb7apf6yuauqq5gvwzbsuqy24x4toptgxnwx4llo4i,bafybeig6i6y7bbekgz4fafnralz6iq4oiafnvbzz5d7ntmv5raaerm4fim, add --chunker=rabin --trickle=true --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_174_1.zst,"rabin","1","0","true","true"
../testdata/repeat_0.04GiB_174_1.zst,bafybeieeafb6xeukf27vzt6ksjsz4di35obf53ziks2rdy4qfck2vxpsmu,bafybeiew6fbjstpum5e2h3hdnmgoj2alduuxc557ndc66fsvu7ozb6ykj4, add --chunker=rabin-262141 --trickle=false --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_174_1.zst,"rabin-262141","1","0","true","false"
../testdata/repeat_0.04GiB_174_1.zst,bafybeieeafb6xeukf27vzt6ksjsz4di35obf53ziks2rdy4qfck2vxpsmu,bafybeig6i6y7bbekgz4fafnralz6iq4oiafnvbzz5d7ntmv5raaerm4fim, add --chunker=rabin-262141 --trickle=true --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_174_1.zst,"rabin-262141","1","0","true","true"
../testdata/repeat_0.04GiB_174.zst,bafybeibzfgr2pnajx7g5dmzz56m64523svoyckmm37iqcsaeobb2nokiae,bafybeig76l2mhwa6iz2r5ijli3gxrrn7buxghc3qokxgkdfjlirjhixqte, add --chunker=rabin --trickle=false --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_174.zst,"rabin","1","0","false","false"
../testdata/repeat_0.04GiB_174.zst,bafybeidvqzrjl4sury3mqy3sr22ywg3b32pbzznpfpgfhrptpf5kseklde,bafybeig6kmsgbeqqiblanpdvppl4xvpkyzr5l6mbyopyiaqzmkhqfnrcne, add --chunker=rabin --trickle=true --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_174.zst,"rabin","1","0","false","true"
../testdata/repeat_0.04GiB_174.zst,bafybeigmlnsmhg72rme3mmnv6ccg7iu5kjuvwo4y7j7bylqwaiittx7o5a,bafybeig76l2mhwa6iz2r5ijli3gxrrn7buxghc3qokxgkdfjlirjhixqte, add --chunker=rabin-262141 --trickle=false --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_174.zst,"rabin-262141","1","0","false","false"
